City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,Lokoja,NG,82.18,light rain,7.8024,6.743,Hotel Charvid
560,Lorengau,PG,81.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
572,Shikarpur,PK,84.09,heavy intensity rain,27.9571,68.6379,TSK™ Hotel
577,Rijeka,HR,83.91,clear sky,45.3431,14.4092,Grand Hotel Bonavia
585,West Wendover,US,83.41,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
589,Farmington,US,79.48,overcast clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
596,Cabinda,AO,78.94,few clouds,-5.55,12.2,Hotel Maiombe
597,Bam,IR,78.24,moderate rain,29.106,58.357,Bam Tourist Hotel
602,Dicabisagan,PH,78.84,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
608,Baraki Barak,AF,84.02,broken clouds,33.9675,68.9486,برکی برک
611,Haimen,CN,84.09,scattered clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
612,Krsko,SI,78.1,few clouds,45.9591,15.4917,Hostel Krško
620,Kavaratti,IN,81.21,overcast clouds,10.5669,72.642,Green leaf
627,Kuchera,IN,80.1,broken clouds,26.9839,73.9719,Surendra Java
630,Beihai,CN,84.88,clear sky,21.4833,109.1,21 Degree Hostel
632,Thrissur,IN,78.78,overcast clouds,10.5167,76.2167,Joys Palace
638,Manggar,ID,79.88,overcast clouds,-2.8833,108.2667,Guest Hotel
642,Tremedal,BR,83.57,clear sky,-14.9758,-41.4108,Pousada Estillos
644,Glarus,CH,78.44,overcast clouds,47.0406,9.068,Ferienheim Saggberg
656,Michigan City,US,78.03,scattered clouds,41.7075,-86.895,Microtel Inn & Suites by Wyndham Michigan City
658,Chabahar,IR,83.23,light rain,25.2919,60.643,هتل گدروشیا
669,Birao,CF,78.17,light rain,10.2849,22.7882,
683,Ormara,PK,83.07,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
686,Menongue,AO,78.35,clear sky,-14.6585,17.691,Ritz Lauca
687,Zboriv,UA,78.93,broken clouds,49.6648,25.141,Polʹsha Lnl
