City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Isabela,PH,6.7085,121.9711,78.46,88,100,3.98,overcast clouds
79,Kununurra,AU,-15.7667,128.7333,78.78,27,84,11.5,broken clouds
80,Ladario,BR,-19.0047,-57.6017,91.69,29,0,8.05,clear sky
81,Laguna,US,38.421,-121.4238,77.09,75,40,4.61,scattered clouds
82,Vikhorevka,RU,56.1201,101.1636,56.79,90,67,4.12,broken clouds
83,East London,ZA,-33.0153,27.9116,63.54,72,0,6.91,clear sky
84,Hilo,US,19.7297,-155.09,75.27,96,75,4.0,light rain
85,Mandurah,AU,-32.55,115.7,54.91,83,87,7.61,overcast clouds
86,Pevek,RU,69.7008,170.3133,32.13,86,58,2.91,broken clouds
87,Marzuq,YE,14.4,46.4667,90.41,30,83,3.8,broken clouds
88,Hermanus,ZA,-34.4187,19.2345,55.8,82,76,6.49,broken clouds
89,Mitu,CO,1.1983,-70.1733,83.1,64,80,3.38,broken clouds
90,Waingapu,ID,-9.6567,120.2641,72.91,80,32,9.53,scattered clouds
91,Turukhansk,RU,65.8167,87.9833,54.82,80,27,1.54,scattered clouds
92,Klaksvik,FO,62.2266,-6.589,54.52,78,100,9.91,overcast clouds
93,Inuvik,CA,68.3499,-133.7218,66.96,68,75,5.75,shower rain
94,Fortuna,US,40.5982,-124.1573,56.66,80,54,3.2,broken clouds
95,Guerrero Negro,MX,27.9769,-114.0611,73.47,67,88,4.79,overcast clouds
96,Baykit,RU,61.67,96.37,60.69,97,100,7.47,heavy intensity rain
97,Haines Junction,CA,60.7522,-137.5108,64.35,59,86,14.97,overcast clouds
98,Karratha,AU,-20.7377,116.8463,68.86,34,45,6.91,scattered clouds
99,Carnarvon,AU,-24.8667,113.6333,64.65,60,0,12.97,clear sky
100,Udachnyy,RU,66.4167,112.4,70.09,68,21,6.82,few clouds
101,Nizhneangarsk,RU,55.7833,109.55,51.22,98,99,1.99,overcast clouds
102,Tautira,PF,-17.7333,-149.15,73.27,83,100,2.68,light rain
103,Vaini,TO,-21.2,-175.2,71.76,94,20,6.91,few clouds
104,New Norfolk,AU,-42.7826,147.0587,45.9,87,100,3.22,overcast clouds
105,Cabedelo,BR,-6.9811,-34.8339,84.87,72,78,13.58,broken clouds
106,Torbay,CA,47.6666,-52.7314,76.87,81,75,27.63,broken clouds
107,Seoul,KR,37.5683,126.9778,78.37,89,100,3.44,overcast clouds
108,Da Nang,VN,16.0678,108.2208,82.38,78,20,2.3,few clouds
109,Camapua,BR,-19.5314,-54.0439,91.94,20,0,4.54,clear sky
110,Luderitz,NA,-26.6481,15.1594,56.7,75,26,7.61,scattered clouds
111,Mathathane,BW,-22.2687,28.7495,67.26,41,0,8.23,clear sky
112,Yulara,AU,-25.2406,130.9889,46.44,51,0,9.75,clear sky
113,Lebu,CL,-37.6167,-73.65,54.01,80,12,18.57,few clouds
114,Mehran,IR,33.1222,46.1646,101.91,7,0,20.4,clear sky
115,Porgera,PG,-5.4667,143.2,42.1,98,100,2.06,overcast clouds
116,Purwodadi,ID,-7.0868,110.9158,73.26,80,27,2.77,scattered clouds
117,Rantepao,ID,-2.9701,119.8978,67.3,98,100,1.45,overcast clouds
118,Kodinsk,RU,58.6881,99.1844,57.51,97,100,11.3,light rain
119,Ozark,US,37.0209,-93.206,97.45,43,11,3.0,few clouds
120,San Patricio,US,28.017,-97.5169,91.35,51,57,10.89,broken clouds
121,Yellowknife,CA,62.456,-114.3525,63.12,59,40,2.3,scattered clouds
122,Qaqortoq,GL,60.7167,-46.0333,46.31,87,99,4.56,overcast clouds
123,Shouguang,CN,36.88,118.7375,71.28,92,0,7.16,clear sky
124,Goderich,CA,43.7501,-81.7165,73.72,49,89,6.91,overcast clouds
125,Tura,IN,25.5198,90.2201,73.94,86,78,2.86,broken clouds
126,Constitucion,CL,-35.3333,-72.4167,54.54,90,100,10.96,overcast clouds
127,Emerald,AU,-23.5333,148.1667,56.34,73,0,15.14,clear sky
128,Thompson,CA,55.7435,-97.8558,62.76,82,75,4.61,broken clouds
129,Podor,MR,16.6527,-14.9587,94.77,42,7,4.23,clear sky
130,Chaohu,CN,31.6,117.8667,78.48,88,21,4.38,few clouds
131,Paita,PE,-5.0892,-81.1144,69.01,73,73,10.96,broken clouds
132,Iwaki,JP,37.05,140.8833,80.76,93,90,6.33,overcast clouds
133,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,48,8.86,scattered clouds
134,Bansang,GM,13.4333,-14.65,88.74,59,100,5.3,overcast clouds
135,Vallenar,CL,-28.5708,-70.7581,64.67,46,0,2.73,clear sky
136,Kaitangata,NZ,-46.2817,169.8464,45.14,95,100,14.83,overcast clouds
137,Spring Valley,US,36.108,-115.245,87.3,57,40,4.61,scattered clouds
138,Sorong,ID,-0.8833,131.25,77.47,87,100,5.08,overcast clouds
139,Castro,BR,-24.7911,-50.0119,73.99,44,0,0.58,clear sky
140,Tiksi,RU,71.6872,128.8694,49.68,90,55,2.95,broken clouds
141,Nioro,GM,13.35,-15.75,86.92,64,93,7.56,light rain
142,Kiama,AU,-34.6833,150.8667,52.38,69,8,10.0,clear sky
143,Roshchino,RU,60.2519,29.6085,74.35,53,61,4.9,broken clouds
144,Port Elizabeth,ZA,-33.918,25.5701,62.1,83,0,3.44,clear sky
145,Saverne,FR,48.8333,7.25,80.73,31,15,5.08,few clouds
146,Tual,ID,-5.6667,132.75,79.25,81,60,21.47,broken clouds
147,Bathsheba,BB,13.2167,-59.5167,88.41,84,40,21.85,scattered clouds
148,Iqaluit,CA,63.7506,-68.5145,51.53,82,20,4.61,few clouds
149,Houston,US,29.7633,-95.3633,95.34,64,0,11.5,clear sky
150,Barstow,US,34.8986,-117.0228,87.15,25,10,2.57,clear sky
151,Chapleau,CA,47.8405,-83.4034,69.89,52,20,6.91,few clouds
152,Northam,GB,51.0333,-4.2167,65.39,56,6,11.65,clear sky
153,Roding,DE,49.1964,12.5186,83.59,33,19,5.14,few clouds
154,Tarusa,RU,54.7233,37.1767,76.91,72,22,1.83,few clouds
155,Sorochinsk,RU,52.4338,53.1583,65.61,87,100,10.47,moderate rain
156,Muros,ES,42.7762,-9.0603,82.69,54,1,15.66,clear sky
157,Great Falls,US,47.5002,-111.3008,69.67,73,0,3.44,clear sky
158,Sena Madureira,BR,-9.0656,-68.6569,94.33,31,8,2.95,clear sky
159,Sisimiut,GL,66.9395,-53.6735,43.99,82,90,8.81,overcast clouds
160,Atasu,KZ,48.6814,71.6433,83.3,17,99,7.72,overcast clouds
161,Buin,CL,-33.7333,-70.75,60.42,64,66,3.42,broken clouds
162,Cap Malheureux,MU,-19.9842,57.6142,71.47,73,1,5.01,clear sky
163,Ilulissat,GL,69.2167,-51.1,46.42,87,75,2.3,broken clouds
164,Bredasdorp,ZA,-34.5322,20.0403,54.93,64,39,6.91,scattered clouds
165,Zhatay,RU,62.1594,129.8294,64.06,77,0,1.99,clear sky
166,Oistins,BB,13.0667,-59.5333,87.89,66,40,21.85,scattered clouds
167,Marrakesh,MA,31.6315,-8.0083,109.47,13,20,10.36,few clouds
168,Karabash,RU,55.4808,60.2157,63.75,94,95,9.91,moderate rain
169,Isangel,VU,-19.55,169.2667,73.13,89,83,14.65,broken clouds
170,Belyy Yar,RU,53.6039,91.3903,55.85,94,0,2.24,light rain
171,Pingzhuang,CN,42.0372,119.2889,67.48,72,30,6.69,scattered clouds
172,Tombouctou,ML,20.0,-3.0,110.03,7,67,23.31,broken clouds
173,Malanje,AO,-9.5402,16.341,83.93,12,24,6.33,few clouds
174,Monrovia,LR,6.3005,-10.7969,82.17,74,100,7.0,overcast clouds
175,Kalat,PK,29.0225,66.5916,71.44,70,49,7.11,scattered clouds
176,Cabo San Lucas,MX,22.8909,-109.9124,90.61,65,0,4.61,clear sky
177,Grindavik,IS,63.8424,-22.4338,55.35,94,100,20.71,overcast clouds
178,Hambantota,LK,6.1241,81.1185,76.71,88,95,11.68,overcast clouds
179,Ust-Kut,RU,56.7938,105.7672,53.01,98,83,4.94,broken clouds
180,Palmas,BR,-10.2128,-48.3603,89.47,33,0,10.36,clear sky
181,Cairns,AU,-16.9167,145.7667,66.15,89,4,6.91,clear sky
182,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,94,75,4.47,broken clouds
183,Esperance,AU,-33.8667,121.9,53.44,81,94,10.89,overcast clouds
184,Nemuro,JP,43.3236,145.575,62.22,96,80,6.2,broken clouds
185,Kruisfontein,ZA,-34.0033,24.7314,59.88,37,0,4.07,clear sky
186,Dikson,RU,73.5069,80.5464,50.61,69,77,23.55,broken clouds
187,Dunedin,NZ,-45.8742,170.5036,46.15,96,100,16.31,overcast clouds
188,Ketchikan,US,55.3422,-131.6461,64.87,82,20,18.41,few clouds
189,Lata,PT,40.1629,-8.3327,74.8,39,0,13.38,clear sky
190,Barberton,ZA,-25.7884,31.0532,60.89,57,3,2.91,clear sky
191,Ponta Do Sol,PT,32.6667,-17.1,86.13,42,57,7.34,broken clouds
192,Batemans Bay,AU,-35.7167,150.1833,52.11,78,7,6.58,clear sky
193,Ararat,AM,39.8317,44.7049,84.54,28,8,0.56,clear sky
194,Sao Filipe,CV,14.8961,-24.4956,78.85,79,76,3.29,broken clouds
195,Port Blair,IN,11.6667,92.75,82.22,81,74,5.17,broken clouds
196,Airai,TL,-8.9266,125.4092,54.1,64,59,3.27,broken clouds
197,Kroya,ID,-7.6331,109.2461,73.15,86,63,4.61,broken clouds
198,Santa Rosa,PH,14.3122,121.1114,80.02,85,82,3.15,broken clouds
199,Beira,MZ,-19.8436,34.8389,68.09,73,20,9.22,few clouds
200,Bandarbeyla,SO,9.4942,50.8122,76.98,79,49,30.6,scattered clouds
201,Kavieng,PG,-2.5744,150.7967,82.78,70,100,13.02,overcast clouds
202,Parkent,UZ,41.2944,69.6764,89.42,17,0,6.44,clear sky
203,Georgetown,MY,5.4112,100.3354,82.33,89,20,2.3,few clouds
204,Beloha,MG,-25.1667,45.05,63.64,62,3,5.93,clear sky
205,Alyangula,AU,-13.8483,136.4192,68.38,84,1,9.01,clear sky
206,Roald,NO,62.5833,6.1333,58.15,100,75,11.5,light rain
207,Saint Anthony,US,45.0205,-93.218,74.93,69,75,10.36,broken clouds
208,Hasaki,JP,35.7333,140.8333,77.4,93,94,16.73,overcast clouds
209,Beidao,CN,34.5686,105.8933,73.51,88,73,3.6,broken clouds
210,San Cristobal,VE,7.7669,-72.225,75.38,56,74,5.01,broken clouds
211,Mount Isa,AU,-20.7333,139.5,56.97,38,0,11.5,clear sky
212,Xixiang,CN,35.1628,112.865,78.94,77,12,5.66,few clouds
213,Chapais,CA,49.7834,-74.8492,56.98,95,100,9.8,overcast clouds
214,Dolinsk,RU,47.35,142.8,64.13,91,93,1.32,overcast clouds
215,Sao Raimundo Nonato,BR,-9.0153,-42.6994,88.12,30,68,11.54,broken clouds
216,Lamu,KE,-2.2717,40.902,75.42,79,24,16.84,few clouds
217,Aykhal,RU,66.0,111.5,68.92,72,68,7.83,broken clouds
218,Gouyave,GD,12.1646,-61.7296,86.77,37,40,18.41,scattered clouds
219,Saldanha,ZA,-33.0117,17.9442,57.25,86,43,1.59,scattered clouds
220,La Huerta,MX,19.4667,-104.65,81.09,70,98,0.31,overcast clouds
221,San Andres,CO,12.5847,-81.7006,86.02,70,40,9.22,scattered clouds
222,Port Macquarie,AU,-31.4333,152.9167,50.9,61,3,14.27,clear sky
223,Lagoa,PT,39.05,-27.9833,74.03,84,6,11.74,clear sky
224,Yumen,CN,40.2833,97.2,78.57,13,45,9.51,scattered clouds
225,Bowen,AU,-20.0167,148.2333,61.65,88,0,5.48,clear sky
226,Ahipara,NZ,-35.1667,173.1667,55.58,81,99,18.41,overcast clouds
227,Sioux Lookout,CA,50.1001,-91.917,68.07,77,75,9.22,broken clouds
228,Fukue,JP,32.6881,128.8419,78.1,76,0,5.82,clear sky
229,Praya,CV,14.9215,-23.5087,84.74,61,40,8.05,scattered clouds
230,Tilichiki,RU,60.4667,166.1,48.42,80,97,2.8,overcast clouds
231,Lira,UG,2.235,32.9097,73.6,62,100,3.36,overcast clouds
232,Pochutla,MX,15.7432,-96.4661,87.82,62,79,3.29,broken clouds
233,Bairiki,KI,1.3292,172.9752,80.6,78,20,11.5,few clouds
234,Pitimbu,BR,-7.4706,-34.8086,84.79,72,71,12.26,broken clouds
235,Chelmno,PL,53.3485,18.4251,76.21,54,100,4.0,overcast clouds
236,Havoysund,NO,70.9963,24.6622,57.43,81,81,8.05,broken clouds
237,Madras,IN,13.0878,80.2785,84.96,79,75,4.61,mist
238,Leningradskiy,RU,69.3833,178.4167,33.3,98,100,11.41,light snow
239,Clyde River,CA,70.4692,-68.5914,41.23,100,75,9.22,light rain
240,Bhadrapur,NP,26.544,88.0944,80.69,82,30,4.38,scattered clouds
241,Ayan,RU,56.45,138.1667,56.03,83,0,3.67,clear sky
242,Dingle,PH,10.9995,122.6711,77.31,91,86,3.02,overcast clouds
243,Jiazi,CN,22.8779,116.067,82.71,79,48,4.34,scattered clouds
244,Cervo,ES,43.6702,-7.4101,65.95,71,92,8.9,overcast clouds
245,Valdivia,CL,-39.8142,-73.2459,53.33,92,47,6.2,scattered clouds
246,Sept-Iles,CA,50.2001,-66.3821,69.06,73,75,17.27,broken clouds
247,Bambous Virieux,MU,-20.3428,57.7575,71.22,83,40,8.05,scattered clouds
248,Tateyama,JP,34.9833,139.8667,81.1,93,100,13.31,overcast clouds
249,Crotone,IT,39.0851,17.1178,91.35,43,0,16.11,clear sky
250,Vardo,NO,70.3705,31.1107,57.18,100,75,8.05,broken clouds
251,West Bay,KY,19.3667,-81.4167,89.08,75,40,6.91,scattered clouds
252,Asfi,MA,32.2994,-9.2372,82.9,50,0,24.32,clear sky
253,Ramhormoz,IR,31.28,49.6035,104.45,4,3,8.23,clear sky
254,Rumoi,JP,43.9344,141.6428,65.59,86,69,2.35,broken clouds
255,Fort Nelson,CA,58.8053,-122.7002,63.99,77,75,6.91,broken clouds
256,Balabac,PH,7.9868,117.0645,80.15,81,72,5.08,broken clouds
257,Labuhan,ID,-6.8844,112.2051,75.92,81,81,6.67,broken clouds
258,Mapastepec,MX,15.4333,-92.9,85.23,68,38,3.44,scattered clouds
259,Zyryanovsk,KZ,49.7386,84.2719,62.6,67,0,3.13,clear sky
260,Cherskiy,RU,68.75,161.3,36.39,84,7,10.45,clear sky
261,Chandia,IN,23.65,80.7,78.08,86,100,6.31,light rain
262,Stornoway,GB,58.2093,-6.3865,58.96,76,40,10.36,scattered clouds
263,Bitkine,TD,11.9801,18.2138,89.26,51,94,7.56,overcast clouds
264,Lakatoro,VU,-16.0999,167.4164,77.4,87,8,7.58,clear sky
265,La Ronge,CA,55.1001,-105.2842,62.82,72,100,12.66,overcast clouds
266,Lala,PH,7.9745,123.7458,75.88,98,100,1.54,overcast clouds
267,Polunochnoye,RU,60.8697,60.4153,57.51,65,44,4.76,scattered clouds
268,Cidreira,BR,-30.1811,-50.2056,66.09,81,4,12.08,clear sky
269,Oktyabrskoye,RU,43.0645,44.7417,75.34,61,40,4.47,scattered clouds
270,Darhan,MN,49.4867,105.9228,54.23,85,99,1.68,overcast clouds
271,Athabasca,CA,54.7169,-113.2854,68.41,56,89,6.17,overcast clouds
272,Naze,JP,28.3667,129.4833,76.12,76,15,7.07,few clouds
273,Terenos,BR,-20.4422,-54.8603,87.51,32,0,11.5,clear sky
274,Ilhabela,BR,-23.7781,-45.3581,73.33,73,7,3.67,clear sky
275,Toul,FR,48.6667,5.9167,77.29,40,0,11.5,clear sky
276,Saint-Francois,FR,46.4154,3.9054,78.67,38,0,11.5,clear sky
277,Oksfjord,NO,70.2396,22.3479,66.38,93,100,2.66,overcast clouds
278,Veshenskaya,RU,49.6303,41.7334,76.5,59,77,4.63,broken clouds
279,Petaluma,US,38.2324,-122.6367,66.16,79,100,4.61,overcast clouds
280,Antalaha,MG,-14.9003,50.2788,69.4,84,31,8.93,scattered clouds
281,Flinders,AU,-34.5833,150.8552,52.18,68,8,11.99,clear sky
282,Nueve De Julio,AR,-35.4444,-60.8831,65.41,90,100,6.06,overcast clouds
283,Ekhabi,RU,53.5102,142.9671,54.46,95,100,5.64,overcast clouds
284,Margate,GB,51.3813,1.3862,66.69,62,100,3.0,overcast clouds
285,Poum,NC,-20.2333,164.0167,73.53,70,67,9.55,broken clouds
286,Henties Bay,NA,-22.116,14.2845,57.31,79,3,9.98,clear sky
287,Rocha,UY,-34.4833,-54.3333,67.46,83,100,9.08,overcast clouds
288,Yamada,JP,39.4667,141.95,71.89,96,14,3.11,few clouds
289,Golspie,GB,57.9727,-3.978,63.95,73,76,14.72,broken clouds
290,Talaya,RU,61.3833,152.75,60.91,51,100,1.34,overcast clouds
291,San Vicente,AR,-26.6167,-54.1333,81.79,36,0,3.49,clear sky
292,Tahta,EG,26.7693,31.5021,101.35,10,0,13.09,clear sky
293,Gayeri,BF,12.6497,0.4931,90.1,50,100,8.7,overcast clouds
294,Murgab,TM,37.4966,61.9714,94.87,29,0,9.22,clear sky
295,Hokitika,NZ,-42.7167,170.9667,46.62,80,53,5.32,broken clouds
